base_score,[480.14519768]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 1.0]",1.3002327851957287
"(1.0, inf]",-24.36685685822739
age,Score
"(-inf, 58.742]",-4.5588890179074095
"(58.742, inf]",14.494987661150816
DebtRatio,Score
"(-inf, 1.479]",-1.1702741226886966
"(1.479, inf]",4.691840717809237
MonthlyIncome,Score
"(-inf, 6158.873]",-5.277955291666345
"(6158.873, inf]",12.376610861657696
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 9.097]",0.14453657605756462
"(9.097, inf]",-0.268424859861872
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",22.861404217609657
"(0.0, 1.0]",-29.11689265941955
"(1.0, 2.0]",-42.89704134150517
"(2.0, inf]",-48.091288500952224
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",15.603495059620434
"(0.0, 1.0]",-58.11312789086796
"(1.0, 2.0]",-66.94673145317348
"(2.0, inf]",-71.05627173009731
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",10.302154626239766
"(0.0, 1.0]",-0.04310834795781354
"(1.0, 2.0]",-5.748658364936264
"(2.0, 4.0]",-21.31745073293098
"(4.0, inf]",-41.78714144601182
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",9.784346181198908
"(0.0, 1.0]",-44.60393442288441
"(1.0, 2.0]",-53.37435467488171
"(2.0, inf]",-52.89786233900288
NumberOfDependents,Score
"(-inf, 0.0]",13.741792389358812
"(0.0, 1.0]",-10.878291598591163
"(1.0, 2.0]",-11.088160785519262
"(2.0, inf]",-10.103926311788213
